Row Labels;Max of 1Uex;Max of 1Dex;Max of 3Uex;Max of 3Dex;Max of 7Uex;Max of 7Dex;Max of 1Uin;Max of 1Din;Max of 3Uin;Max of 3Din;Max of 7Uin;Max of 7Din
A_70_P000171;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P001431;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P001432;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P003401;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P003541;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P004271;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P004391;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P008596;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P008776;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P009551;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P012436;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P012881;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P014156;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P014652;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P014657;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P015751;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P016181;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P016336;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P017651;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P019656;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P019681;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P019866;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P021931;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P022951;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P023026;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P024926;0;1;0;1;0;1;0;1;0;1;0;1
A_70_P028386;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P028616;1;0;1;0;1;0;1;0;1;0;1;0
A_70_P028906;1;0;1;0;1;0;1;0;1;0;1;0
